DATA_CREDITO;ANO_MES_REPASSE;DATA_REPASSE;NOME_MUNICIPIO;DEDUCAO_FUNDEB_ICMS;VALOR_BRUTO_ICMS;VALOR_CREDITADO_ICMS;DEDUCAO_FUNDEB_IPI;VALOR_BRUTO_IPI;VALOR_CREDITADO_IPI;DEDUCAO_FUNDEB_IPVA;VALOR_BRUTO_IPVA;VALOR_CREDITADO_IPVA
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CARMO DO RIO VERDE";5943.64;23659.2;17715.56;0.0;0.0;0.0;7725.08;15784.32;8059.24
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CASTELANDIA;3625.09;14769.81;11144.72;0.0;0.0;0.0;3004.96;3524.44;519.48
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CATALAO;89522.16;349684.45;260162.29;0.0;0.0;0.0;187978.54;582802.04;394823.5
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CATURAI;3765.11;15594.45;11829.34;0.0;0.0;0.0;2530.82;7043.7;4512.88
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CAVALCANTE;7801.72;30180.170000000002;22378.45;0.0;0.0;0.0;1676.88;15844.6;14167.720000000001
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CERES;5625.87;23038.81;17412.94;0.0;0.0;0.0;35346.8;76065.0;40718.200000000004
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CEZARINA;8113.75;32055.780000000002;23942.03;0.0;0.0;0.0;2073.26;4829.86;2756.6
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CHAPADAO DO CEU";29952.5;114999.1;85046.6;0.0;0.0;0.0;13204.94;60743.9;47538.96
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CIDADE OCIDENTAL";10772.7;46617.97;35845.270000000004;0.0;0.0;0.0;18448.3;39863.88;21415.58
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"COCALZINHO DE GOIAS";6313.97;25909.84;19595.87;0.0;0.0;0.0;4460.18;12805.720000000001;8345.54
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"COLINAS DO SUL";3263.1;13609.95;10346.85;0.0;0.0;0.0;1280.46;3893.2000000000003;2612.7400000000002
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CORREGO DO OURO";3050.4500000000003;12409.02;9358.57;0.0;0.0;0.0;1889.4;1889.4;0.0
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CORUMBA DE GOIAS";4501.54;18609.31;14107.77;0.0;0.0;0.0;3993.34;21621.7;17628.36
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CORUMBAIBA;12456.35;49604.56;37148.21;0.0;0.0;0.0;4406.66;20161.0;15754.34
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CRISTALINA;50182.21;196193.37;146011.16;0.0;0.0;0.0;42085.24;112338.46;70253.22
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CRISTIANOPOLIS;3572.4900000000002;15010.36;11437.87;0.0;0.0;0.0;232.08;2603.48;2371.4
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CRIXAS;11182.710000000001;44023.700000000004;32840.99;0.0;0.0;0.0;14607.76;47921.96;33314.2
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CROMINIA;3221.1;13266.130000000001;10045.03;0.0;0.0;0.0;2723.2400000000002;12983.94;10260.7
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CUMARI;3484.76;14541.62;11056.86;0.0;0.0;0.0;1228.2;8944.4;7716.2
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;DAMIANOPOLIS;2681.35;11156.33;8474.98;0.0;0.0;0.0;1775.94;5147.88;3371.94
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;DAMOLANDIA;2965.23;12403.02;9437.79;0.0;0.0;0.0;329.86;1743.58;1413.72
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;DAVINOPOLIS;6719.95;26381.670000000002;19661.72;0.0;0.0;0.0;3028.18;3028.18;0.0
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;DIORAMA;3422.56;14112.12;10689.56;0.0;0.0;0.0;371.64;371.64;0.0
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"DIVINOPOLIS DE GOIAS";3321.9900000000002;13705.68;10383.69;0.0;0.0;0.0;828.5600000000001;2353.58;1525.02
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;DOVERLANDIA;6242.41;24573.98;18331.57;0.0;0.0;0.0;1169.46;6082.22;4912.76
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;EDEALINA;7748.05;30875.190000000002;23127.14;0.0;0.0;0.0;849.82;9193.14;8343.32
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;EDEIA;14991.84;58399.3;43407.46;0.0;0.0;0.0;7626.66;26440.7;18814.04
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"ESTRELA DO NORTE";3063.55;12517.53;9453.98;0.0;0.0;0.0;795.16;2375.76;1580.6000000000001
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;FAINA;4416.45;18238.97;13822.52;0.0;0.0;0.0;1623.22;4032.34;2409.12
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"FAZENDA NOVA";4465.4400000000005;18130.73;13665.29;0.0;0.0;0.0;3312.1800000000003;11888.78;8576.6
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;FIRMINOPOLIS;4328.84;17689.82;13360.98;0.0;0.0;0.0;7132.8;26799.84;19667.04
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"FLORES DE GOIAS";4923.34;20019.420000000002;15096.08;0.0;0.0;0.0;626.96;2101.52;1474.56
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;FORMOSA;28741.7;113154.04000000001;84412.34;0.0;0.0;0.0;63072.1;218421.94;155349.84
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;FORMOSO;3231.76;13290.26;10058.5;0.0;0.0;0.0;707.12;2995.92;2288.8
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"GAMELEIRA DE GOIAS";5152.07;20719.920000000002;15567.85;0.0;0.0;0.0;550.94;9575.02;9024.08
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GOIANAPOLIS;6841.34;27912.32;21070.98;0.0;0.0;0.0;7770.2;31587.66;23817.46
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GOIANDIRA;3428.85;14046.59;10617.74;0.0;0.0;0.0;5483.6;8420.4;2936.8
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GOIANESIA;23099.420000000002;90071.94;66972.52;0.0;0.0;0.0;63302.020000000004;201000.92;137698.9
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GOIANIA;405045.24;1607495.01;1202449.77;0.0;0.0;0.0;2322336.88;8976917.84;6654580.96
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GOIANIRA;12784.69;53556.15;40771.46;0.0;0.0;0.0;30460.78;103151.2;72690.42
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GOIAS;8062.74;32262.24;24199.5;0.0;0.0;0.0;13901.78;33893.76;19991.98
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GOIATUBA;26791.38;105236.94;78445.56;0.0;0.0;0.0;31667.940000000002;96755.74;65087.8
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GOUVELANDIA;5849.93;23394.86;17544.93;0.0;0.0;0.0;2393.38;7833.82;5440.4400000000005
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GUAPO;5072.13;20888.32;15816.19;0.0;0.0;0.0;5129.56;29765.48;24635.920000000002
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GUARAITA;2594.68;11079.03;8484.35;0.0;0.0;0.0;11.66;6063.16;6051.5
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"GUARANI DE GOIAS";3709.31;15065.58;11356.27;0.0;0.0;0.0;2914.6;3735.7000000000003;821.1
